GeneName	ProteinName	N-terminal	VSD	S5	PoreLoop	S6	ELs	ILs	C-terminal
CACNA1S	Cav1.1	1	27	3	23	3	12	23	26
CACNA1C	Cav1.2	24	25	2	36	3	9	59	102
CACNA1D	Cav1.3	0	5	0	4	0	2	6	15
CACNA1F	Cav1.4	3	2	0	3	1	2	4	4
CACNA1A	Cav2.1	2	19	6	20	7	7	100	82
CACNA1B	Cav2.2	0	1	0	0	0	0	0	1
CACNA1E	Cav2.3	0	1	0	0	3	0	3	3
CACNA1G	Cav3.1	1	3	0	1	2	1	11	6
CACNA1H	Cav3.2	3	21	1	15	3	4	66	40
CACNA1I	Cav3.3	0	0	1	0	0	0	0	0
KCNA1	Kv1.1	7	2	0	2	2	2	0	3
KCNA2	Kv1.2	1	3	0	1	1	1	0	2
KCNA3	Kv1.3	1	0	0	0	0	0	0	0
KCNA4	Kv1.4	0	0	0	0	0	0	0	0
KCNA5	Kv1.5	18	1	2	1	0	12	1	6
KCNA6	Kv1.6	0	0	0	0	0	0	0	0
KCNA7	Kv1.7	0	0	0	0	0	0	0	0
KCNA10	Kv1.8	1	0	0	0	0	0	0	0
KCNB1	Kv2.1	1	3	0	0	0	0	0	16
KCNB2	Kv2.2	0	0	0	0	0	0	0	1
KCNC1	Kv3.1	2	2	0	1	0	4	0	4
KCNC2	Kv3.2	0	0	0	0	0	0	0	0
KCNC3	Kv3.3	3	1	0	2	0	2	0	8
KCNC4	Kv3.4	0	0	0	0	0	0	0	0
KCND1	Kv4.1	0	0	0	0	0	0	0	0
KCND2	Kv4.2	0	0	0	0	1	0	0	2
KCND3	Kv4.3	8	2	0	2	2	2	1	21
KCNF1	Kv5.1	1	0	0	0	0	0	0	0
KCNG1	Kv6.1	0	0	0	0	0	0	0	0
KCNG2	Kv6.2	0	0	0	0	0	0	0	0
KCNG3	Kv6.3	0	0	0	0	0	0	0	0
KCNG4	Kv6.4	0	0	0	0	0	0	0	0
KCNQ1	Kv7.1	29	36	14	43	8	6	32	121
KCNQ2	Kv7.2	7	10	3	6	1	2	4	77
KCNQ3	Kv7.3	8	4	1	4	3	0	0	61
KCNQ4	Kv7.4	0	0	0	5	0	1	1	18
KCNQ5	Kv7.5	0	1	0	0	0	0	1	3
KCNV1	Kv8.1	0	0	0	0	0	0	0	0
KCNV2	Kv8.2	7	3	0	1	0	3	0	0
KCNS1	Kv9.1	0	0	0	0	0	0	0	0
KCNS2	Kv9.2	0	0	0	0	0	0	0	0
KCNS3	Kv9.3	0	0	0	0	0	0	0	0
KCNH1	Kv10.1	0	0	0	0	0	0	0	1
KCNH5	Kv10.2	3	5	0	0	1	0	0	11
KCNH2	Kv11.1	166	28	18	69	14	11	11	168
KCNH6	Kv11.2	0	0	0	0	0	0	0	0
KCNH7	Kv11.3	1	0	0	0	0	0	0	0
KCNH8	Kv12.1	0	0	0	0	0	0	0	0
KCNH3	Kv12.2	0	0	0	0	0	0	0	0
KCNH4	Kv12.3	0	0	0	0	0	0	0	1
SCN1A	Nav1.1	16	73	18	76	33	12	98	44
SCN2A	Nav1.2	7	32	7	18	7	5	66	23
SCN3A	Nav1.3	3	3	2	2	0	0	18	9
SCN4A	Nav1.4	10	22	4	22	6	6	40	14
SCN5A	Nav1.5	44	122	45	126	47	25	266	101
SCN8A	Nav1.6	11	24	2	11	5	4	47	16
SCN9A	Nav1.7	12	29	9	30	10	4	96	20
SCN10A	Nav1.8	10	32	8	16	9	4	37	11
SCN11A	Nav1.9	6	16	0	12	2	1	25	8
