gene_name	pathogenicity	polar to polar	polar to non-polar	polar to charged	non-polar to polar	non-polar to non-polar	non-polar to charged	charged to polar	charged to non-polar	charged to charged
KCNA1	1	1	2	3	6	10	1	1	0	1
	0	0	0	0	0	0	0	0	0	0
KCNA10	1	0	0	0	0	0	0	0	0	0
	0	1	0	0	1	0	0	0	0	0
KCNA2	1	2	4	0	2	4	2	1	0	0
	0	0	0	0	0	0	0	0	0	0
KCNA3	1	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	0	0	0	0	0
KCNA4	1	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	0	0	0	0	0
KCNA5	1	0	0	0	0	1	0	0	1	1
	0	0	0	0	5	3	2	0	0	1
KCNA6	1	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	0	0	0	0	0
KCNA7	1	0	0	0	0	0	0	0	0	0
	0	1	0	0	0	0	1	0	0	0
KCNB1	1	3	1	3	1	3	4	4	1	3
	0	3	0	1	3	2	0	0	0	0
KCNB2	1	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	0	0	0	1	0
KCNC1	1	0	0	0	0	0	0	1	0	0
	0	0	0	0	0	0	0	0	0	0
KCNC2	1	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	0	0	0	0	0
KCNC3	1	0	1	0	2	1	0	2	0	0
	0	1	0	0	2	1	1	1	1	0
KCNC4	1	0	0	0	0	0	0	0	0	0
	0	1	0	0	0	0	0	2	0	0
KCND1	1	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	0	0	0	0	0
KCND2	1	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	1	0	0	0	0
KCND3	1	1	2	0	1	3	2	0	0	0
	0	0	1	0	0	0	0	1	0	0
KCNF1	1	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	0	0	0	0	0
KCNG1	1	0	0	0	0	0	0	0	0	0
	0	0	0	0	1	0	0	0	0	0
KCNG2	1	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	0	0	0	0	0
KCNG3	1	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	0	0	0	0	0
KCNG4	1	0	0	0	0	0	0	0	0	0
	0	1	0	0	1	0	1	2	0	1
KCNH1	1	1	0	1	1	6	2	3	0	1
	0	0	0	0	0	0	0	0	0	0
KCNH2	1	21	12	8	27	34	14	24	7	5
	0	1	0	0	4	5	0	2	0	2
KCNH3	1	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	0	0	0	0	0
KCNH4	1	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	0	0	0	0	0
KCNH5	1	0	0	0	0	0	0	0	0	0
	0	0	0	0	3	0	0	0	1	0
KCNH6	1	0	0	0	0	0	0	0	0	0
	0	1	0	0	0	0	1	0	0	0
KCNH7	1	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	1	0	0	0	0
KCNH8	1	0	0	0	0	0	0	0	0	0
	0	0	0	1	0	0	0	1	0	0
KCNQ1	1	17	17	7	18	33	21	30	12	4
	0	0	0	0	3	2	1	1	0	0
KCNQ2	1	19	27	7	26	33	16	32	18	10
	0	2	2	0	2	5	0	3	0	0
KCNQ3	1	0	0	1	2	3	2	3	1	1
	0	2	0	1	3	0	1	0	1	0
KCNQ4	1	4	1	2	7	3	1	1	1	1
	0	2	0	0	0	0	0	0	0	1
KCNQ5	1	0	1	0	0	2	1	0	0	0
	0	0	0	0	0	0	0	0	0	0
KCNS1	1	0	0	0	0	0	0	0	0	0
	0	0	0	1	0	1	0	0	0	0
KCNS2	1	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	0	0	0	0	0
KCNS3	1	0	0	0	0	0	0	0	0	0
	0	0	1	0	0	1	0	0	0	0
KCNV1	1	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	0	0	0	1	0
KCNV2	1	2	0	1	2	1	1	0	0	0
	0	0	0	1	1	3	0	1	0	1
