gene_name	pathogenicity	polar to polar	polar to non-polar	polar to charged	non-polar to polar	non-polar to non-polar	non-polar to charged	charged to polar	charged to non-polar	charged to charged
CACNA1A	1	7	2	4	5	6	4	10	1	5
	0	0	0	0	4	2	0	0	2	2
CACNA1B	1	0	0	0	0	0	0	1	0	0
	0	0	1	1	1	0	0	0	0	2
CACNA1C	1	0	0	0	3	1	2	3	1	1
	0	3	1	1	5	6	1	3	0	3
CACNA1D	1	0	0	0	1	2	3	0	0	0
	0	0	0	0	0	0	0	1	0	0
CACNA1E	1	0	0	0	1	0	0	0	0	0
	0	0	0	0	1	0	0	0	0	1
CACNA1F	1	0	1	3	5	4	9	2	0	0
	0	1	0	1	4	1	0	4	0	0
CACNA1G	1	0	2	1	0	1	0	2	0	1
	0	0	0	0	0	0	0	0	0	0
CACNA1H	1	2	3	0	3	6	0	2	0	0
	0	7	7	2	17	13	2	16	5	2
CACNA1I	1	0	0	0	0	0	0	0	0	0
	0	1	0	0	0	2	1	0	0	0
CACNA1S	1	1	0	0	1	0	1	3	2	0
	0	7	4	1	9	4	4	10	1	2
