GeneName(ProteinName)	Pathogenicity	Condition:TM	Condition:NonTM
SCN1A(Nav1.1)	Pathogenic	TM	661.835996034
	Polymorphism	TM	4.010085485
	Pathogenic	NOTM	718.440154203
	Polymorphism	NOTM	6.252237951
SCN2A(Nav1.2)	Pathogenic	TM	176.576608794
	Polymorphism	TM	2.207350121
	Pathogenic	NOTM	179.8384852
	Polymorphism	NOTM	2.644031344
SCN3A(Nav1.3)	Pathogenic	TM	19.844722297
	Polymorphism	TM	1.226537035
	Pathogenic	NOTM	19.844722297
	Polymorphism	NOTM	2.09989948
SCN4A(Nav1.4)	Pathogenic	TM	91.986173637
	Polymorphism	TM	33.777072035
	Pathogenic	NOTM	92.406341704
	Polymorphism	NOTM	27.461818661
SCN5A(Nav1.5)	Pathogenic	TM	226.436615874
	Polymorphism	TM	11.708625449
	Pathogenic	NOTM	249.6081165
	Polymorphism	NOTM	13.757805777
SCN8A(Nav1.6)	Pathogenic	TM	186.248489896
	Polymorphism	TM	28.294619847
	Pathogenic	NOTM	190.454097373
	Polymorphism	NOTM	28.294619847
SCN9A(Nav1.7)	Pathogenic	TM	73.231153104
	Polymorphism	TM	3.997639252
	Pathogenic	NOTM	73.231153104
	Polymorphism	NOTM	4.436235743
SCN10A(Nav1.8)	Pathogenic	TM	0
	Polymorphism	TM	35.339919685
	Pathogenic	NOTM	0
	Polymorphism	NOTM	41.664706009
SCN11A(Nav1.9)	Pathogenic	TM	0
	Polymorphism	TM	26.923810048
	Pathogenic	NOTM	0
	Polymorphism	NOTM	28.528088123
CACNA1S(Cav1.1)	Pathogenic	TM	26.315789475
	Polymorphism	TM	53.759918494
	Pathogenic	NOTM	10.52631579
	Polymorphism	NOTM	78.677109085
CACNA1C(Cav1.2)	Pathogenic	TM	5.360544218
	Polymorphism	TM	8.680272109
	Pathogenic	NOTM	16.525024644
	Polymorphism	NOTM	8.319779847
CACNA1D(Cav1.3)	Pathogenic	TM	20
	Polymorphism	TM	0
	Pathogenic	NOTM	0.854700855
