GeneName	ProteinName	Pathogenicity	VSD	PoreLoop	ELs	ILs	other
CACNA1S	Cav1.1	1	6	0	0	2	0
		0	4	10	6	6	17
CACNA1C	Cav1.2	1	1	1	2	5	8
		0	0	1	1	2	29
CACNA1D	Cav1.3	1	0	1	0	2	5
		0	1	0	0	2	4
CACNA1F	Cav1.4	1	3	5	0	5	11
		0	2	2	0	2	5
CACNA1A	Cav2.1	1	16	12	0	9	12
		0	0	1	0	12	3
CACNA1B	Cav2.2	1	0	1	0	0	0
		0	1	0	1	3	0
CACNA1E	Cav2.3	1	1	0	0	4	3
		0	0	0	0	1	1
CACNA1G	Cav3.1	1	2	0	0	3	1
		0	0	0	0	0	0
CACNA1H	Cav3.2	1	2	1	0	9	6
		0	3	10	3	34	19
CACNA1I	Cav3.3	1	0	0	0	0	0
		0	0	0	1	1	2
KCNA1	Kv1.1	1	12	0	0	3	10
		0	0	0	0	0	0
KCNA2	Kv1.2	1	4	2	0	2	6
		0	0	0	0	0	0
KCNA3	Kv1.3	1	0	0	0	0	0
		0	0	0	0	0	0
KCNA4	Kv1.4	1	0	0	0	0	0
		0	0	0	0	0	0
KCNA5	Kv1.5	1	0	0	0	0	3
		0	1	0	2	0	8
KCNA6	Kv1.6	1	0	0	0	0	0
		0	0	0	0	0	0
KCNA7	Kv1.7	1	0	0	0	0	0
		0	0	0	1	0	1
KCNA10	Kv1.8	1	0	0	0	0	0
		0	1	0	1	0	0
KCNB1	Kv2.1	1	6	7	1	2	6
		0	0	0	0	0	9
KCNB2	Kv2.2	1	0	0	0	0	0
		0	0	0	0	0	1
KCNC1	Kv3.1	1	1	0	0	0	3
		0	0	0	1	0	0
KCNC2	Kv3.2	1	0	0	0	0	0
		0	0	0	0	0	0
KCNC3	Kv3.3	1	3	0	0	0	3
		0	0	0	0	0	6
KCNC4	Kv3.4	1	0	0	0	0	0
		0	1	0	0	0	2
KCND1	Kv4.1	1	0	0	0	0	0
		0	0	0	0	0	0
KCND2	Kv4.2	1	0	0	0	0	0
		0	1	0	0	0	0
KCND3	Kv4.3	1	0	5	0	0	4
		0	0	0	0	0	1
KCNF1	Kv5.1	1	0	0	0	0	0
		0	0	0	0	0	0
KCNG1	Kv6.1	1	0	0	0	0	0
		0	1	0	0	0	0
KCNG2	Kv6.2	1	0	0	0	0	0
		0	0	0	0	0	0
KCNG3	Kv6.3	1	0	0	0	0	0
		0	0	0	0	0	0
KCNG4	Kv6.4	1	0	0	0	0	0
		0	0	1	3	0	2
KCNQ1	Kv7.1	1	31	23	2	26	77
		0	1	1	0	0	5
KCNQ2	Kv7.2	1	28	31	5	13	72
		0	0	0	0	0	14
KCNQ3	Kv7.3	1	2	6	1	3	5
		0	0	0	0	0	9
KCNQ4	Kv7.4	1	1	13	0	2	3
		0	0	0	0	0	3
KCNQ5	Kv7.5	1	1	0	0	0	3
		0	0	0	0	0	0
KCNV1	Kv8.1	1	0	0	0	0	0
		0	0	0	0	0	1
KCNV2	Kv8.2	1	1	1	4	0	1
		0	0	0	2	1	4
KCNS1	Kv9.1	1	0	0	0	0	0
		0	0	0	0	0	2
KCNS2	Kv9.2	1	0	0	0	0	0
		0	0	0	0	0	0
KCNS3	Kv9.3	1	0	0	0	0	0
		0	1	0	0	0	1
KCNH1	Kv10.1	1	6	1	1	1	10
		0	0	0	0	0	0
KCNH5	Kv10.2	1	0	0	0	0	0
		0	0	0	0	0	4
KCNH2	Kv11.1	1	10	41	3	4	94
		0	1	0	0	0	14
KCNH6	Kv11.2	1	0	0	0	0	0
		0	0	0	0	0	2
KCNH7	Kv11.3	1	0	0	0	0	0
		0	0	0	0	0	1
KCNH8	Kv12.1	1	0	0	0	0	0
		0	0	0	0	0	2
KCNH3	Kv12.2	1	0	0	0	0	0
		0	0	0	0	0	0
KCNH4	Kv12.3	1	0	0	0	0	0
		0	0	0	0	0	0
SCN1A	Nav1.1	1	145	180	16	89	188
		0	1	1	0	9	8
SCN2A	Nav1.2	1	39	23	7	51	33
		0	0	3	0	4	3
SCN3A	Nav1.3	1	1	2	1	4	1
		0	0	0	0	4	3
SCN4A	Nav1.4	1	30	3	1	20	14
		0	3	4	1	12	11
SCN5A	Nav1.5	1	35	28	7	37	45
		0	4	2	0	16	10
SCN8A	Nav1.6	1	27	2	5	30	25
		0	0	0	0	9	1
SCN9A	Nav1.7	1	9	2	1	25	6
		0	5	3	2	20	6
SCN10A	Nav1.8	1	0	0	0	0	1
		0	3	7	2	18	13
SCN11A	Nav1.9	1	4	0	0	1	6
		0	1	7	0	10	6
