GeneName	ProteinName	Pathogenicity	N-terminal	S1	S2	S3	S4	S5	PoreLoop	S6	ELs	ILs	C-terminal
CACNA1S	Cav1.1	1	0	0	0	1	5	0	0	0	0	2	0
		0	0	2	0	2	0	2	10	0	6	6	15
CACNA1C	Cav1.2	1	2	1	0	0	0	0	1	5	2	5	1
		0	3	0	0	0	0	0	1	2	1	2	24
CACNA1D	Cav1.3	1	0	0	0	0	0	0	1	5	0	2	0
		0	0	0	0	0	1	0	0	1	0	2	3
CACNA1F	Cav1.4	1	1	1	0	1	1	3	5	3	0	5	4
		0	2	0	0	2	0	0	2	1	0	2	2
CACNA1A	Cav2.1	1	0	1	2	1	12	3	12	7	0	9	2
		0	1	0	0	0	0	0	1	0	0	12	2
CACNA1B	Cav2.2	1	0	0	0	0	0	0	1	0	0	0	0
		0	0	0	0	1	0	0	0	0	1	3	0
CACNA1E	Cav2.3	1	0	0	1	0	0	1	0	2	0	4	0
		0	0	0	0	0	0	0	0	0	0	1	1
CACNA1G	Cav3.1	1	0	0	0	0	2	0	0	0	0	3	1
		0	0	0	0	0	0	0	0	0	0	0	0
CACNA1H	Cav3.2	1	0	0	1	0	1	1	1	2	0	9	3
		0	0	1	2	0	0	1	10	0	3	34	18
CACNA1I	Cav3.3	1	0	0	0	0	0	0	0	0	0	0	0
		0	0	0	0	0	0	0	0	0	1	1	2
KCNA1	Kv1.1	1	0	4	6	1	1	3	0	7	0	3	0
		0	0	0	0	0	0	0	0	0	0	0	0
KCNA2	Kv1.2	1	1	0	0	1	3	2	2	3	0	2	0
		0	0	0	0	0	0	0	0	0	0	0	0
KCNA3	Kv1.3	1	0	0	0	0	0	0	0	0	0	0	0
		0	0	0	0	0	0	0	0	0	0	0	0
KCNA4	Kv1.4	1	0	0	0	0	0	0	0	0	0	0	0
		0	0	0	0	0	0	0	0	0	0	0	0
KCNA5	Kv1.5	1	1	0	0	0	0	0	0	0	0	0	2
		0	5	1	0	0	0	0	0	0	2	0	3
KCNA6	Kv1.6	1	0	0	0	0	0	0	0	0	0	0	0
		0	0	0	0	0	0	0	0	0	0	0	0
KCNA7	Kv1.7	1	0	0	0	0	0	0	0	0	0	0	0
		0	0	0	0	0	0	0	0	0	1	0	1
KCNA10	Kv1.8	1	0	0	0	0	0	0	0	0	0	0	0
		0	0	1	0	0	0	0	0	0	1	0	0
KCNB1	Kv2.1	1	0	0	0	0	6	2	7	3	1	2	1
		0	0	0	0	0	0	0	0	0	0	0	9
KCNB2	Kv2.2	1	0	0	0	0	0	0	0	0	0	0	0
		0	0	0	0	0	0	0	0	0	0	0	1
