GeneName(ProteinName)	Pathogenicity	Condition:TM-NOTM	Value
SCN1A(Nav1.1)	Pathogenic	TM	715.778838504
	Polymorphism	TM	21.675631442
	Pathogenic	NOTM	770.419414663
	Polymorphism	NOTM	14.826874817
SCN2A(Nav1.2)	Pathogenic	TM	143.55768661
	Polymorphism	TM	5.668945723
	Pathogenic	NOTM	145.304411501
	Polymorphism	NOTM	6.105626946
SCN3A(Nav1.3)	Pathogenic	TM	0
	Polymorphism	TM	1.531415084
	Pathogenic	NOTM	0
	Polymorphism	NOTM	2.841458752
SCN4A(Nav1.4)	Pathogenic	TM	81.762751036
	Polymorphism	TM	31.857297234
	Pathogenic	NOTM	82.60308717
	Polymorphism	NOTM	24.281539658
SCN5A(Nav1.5)	Pathogenic	TM	302.530493214
	Polymorphism	TM	65.343850688
	Pathogenic	NOTM	339.232889184
	Polymorphism	NOTM	71.901227737
SCN8A(Nav1.6)	Pathogenic	TM	102.371385894
	Polymorphism	TM	1.849166933
	Pathogenic	NOTM	106.109703651
	Polymorphism	NOTM	1.849166933
SCN9A(Nav1.7)	Pathogenic	TM	116.393494742
	Polymorphism	TM	32.151763042
	Pathogenic	NOTM	116.393494742
	Polymorphism	NOTM	33.467552516
SCN10A(Nav1.8)	Pathogenic	TM	0.384615385
	Polymorphism	TM	25.251753423
	Pathogenic	NOTM	0.384615385
	Polymorphism	NOTM	28.3286765
SCN11A(Nav1.9)	Pathogenic	TM	6.666666667
	Polymorphism	TM	4.611050027
	Pathogenic	NOTM	6.666666667
	Polymorphism	NOTM	5.680568744
CACNA1S(Cav1.1)	Pathogenic	TM	36.84210526
	Polymorphism	TM	34.650903819
	Pathogenic	NOTM	5.263157895
	Polymorphism	NOTM	30.56034098
CACNA1C(Cav1.2)	Pathogenic	TM	10.040816327
	Polymorphism	TM	19.206587899
	Pathogenic	NOTM	22.091619633
	Polymorphism	NOTM	12.11864794
CACNA1D(Cav1.3)	Pathogenic	TM	12
	Polymorphism	TM	5.746268657
	Pathogenic	NOTM	0
	Polymorphism	NOTM	1.033212703
CACNA1F(Cav1.4)	Pathogenic	TM	39.613687611
	Polymorphism	TM	19.465178097
	Pathogenic	NOTM	30.834459926
	Polymorphism	NOTM	4.295101157
CACNA1A(Cav2.1)	Pathogenic	TM	47.067191879
	Polymorphism	TM	1.325757576
	Pathogenic	NOTM	16.555452951
	Polymorphism	NOTM	3.27683379
CACNA1B(Cav2.2)	Pathogenic	TM	1.149425287
	Polymorphism	TM	13.937337173
	Pathogenic	NOTM	1.149425287
	Polymorphism	NOTM	8.937337173
CACNA1E(Cav2.3)	Pathogenic	TM	4
	Polymorphism	TM	0.224719101
	Pathogenic	NOTM	0.793650794
	Polymorphism	NOTM	0.394498388
CACNA1G(Cav3.1)	Pathogenic	TM	4.166666667
	Polymorphism	TM	0
	Pathogenic	NOTM	9.090909091
	Polymorphism	NOTM	0
CACNA1H(Cav3.2)	Pathogenic	TM	5.844155844
	Polymorphism	TM	11.310339933
	Pathogenic	NOTM	3.170359053
	Polymorphism	NOTM	29.861299323
KCNA1(Kv1.1)	Pathogenic	TM	81.094193162
	Polymorphism	TM	0
	Pathogenic	NOTM	18.18181818
	Polymorphism	NOTM	2.941176471
KCNA2(Kv1.2)	Pathogenic	TM	17.733990148
